2, 0, -0.000253767
1.9998, -0.000203013, -0.000253767
2.20897, 0.209173, 0.26172
2.41791, 0.208938, -0.000293195
2.62658, 0.208669, -0.000336468
2.83494, 0.208362, -0.000383884
3.04295, 0.208013, -0.00043577
3.25057, 0.207619, -0.000492454
3.45775, 0.207176, -0.000554264
3.66443, 0.206679, -0.000621498
3.87055, 0.206123, -0.000694484
4.07605, 0.205504, -0.000773489
4.28087, 0.204817, -0.000858784
4.48493, 0.204057, -0.000950634
4.68814, 0.203217, -0.00104922
4.89044, 0.202294, -0.00115478
5.09172, 0.20128, -0.00126755
5.29189, 0.200169, -0.00138766
5.49084, 0.198957, -0.00151527
5.68848, 0.197637, -0.00165039
5.88468, 0.196202, -0.00179327
6.07933, 0.194647, -0.00194389
6.2723, 0.192965, -0.00210208
6.46345, 0.191151, -0.00226808
6.65265, 0.189198, -0.00244164
6.83974, 0.1871, -0.00262266
7.0246, 0.184851, -0.00281101
7.20704, 0.182446, -0.00300646
7.38692, 0.179879, -0.0032087
7.56406, 0.177145, -0.00341749
7.7383, 0.174239, -0.00363237
7.90946, 0.171156, -0.00385284
8.07735, 0.167894, -0.00407863
8.2418, 0.164446, -0.00430894
8.40261, 0.160812, -0.00454342
8.5596, 0.156987, -0.00478113
8.71257, 0.152969, -0.00502169
8.86133, 0.148758, -0.00526404
9.00568, 0.144352, -0.00550747
9.14543, 0.139751, -0.00575125
9.28038, 0.134956, -0.0059942
9.41035, 0.129967, -0.00623572
9.53514, 0.124788, -0.00647461
9.65456, 0.11942, -0.00670981
9.76843, 0.113867, -0.00694048
9.87656, 0.108135, -0.00716543
9.97879, 0.102228, -0.00738382
10.0749, 0.0961524, -0.00759447
10.1649, 0.0899154, -0.00779629
10.2484, 0.0835246, -0.00798845
10.3254, 0.0769887, -0.00816989
10.3957, 0.070317, -0.00833964
10.4592, 0.0635197, -0.00849664
10.5158, 0.0566073, -0.00864041
10.5654, 0.0495914, -0.00876987
10.6079, 0.042484, -0.00888431
10.6432, 0.0352973, -0.00898337
10.6712, 0.0280445, -0.00906599
10.692, 0.0207387, -0.00913227
10.7054, 0.0133936, -0.00918138
10.7114, 0.00602302, -0.00921321
10.71, -0.00135899, -0.00922751
10.7013, -0.00873833, -0.00922418
10.6852, -0.0161012, -0.00920355
10.6618, -0.0234333, -0.00916517
10.631, -0.0307212, -0.00910985
10.5931, -0.0379512, -0.00903749
10.548, -0.0451101, -0.00894868
10.4958, -0.0521853, -0.00884402
10.4366, -0.0591644, -0.00872386
10.3706, -0.0660357, -0.00858903
10.2978, -0.072788, -0.00844038
10.2184, -0.0794107, -0.00827849
10.1325, -0.0858942, -0.00810432
10.0403, -0.0922294, -0.00791895
9.94186, -0.0984078, -0.00772309
9.83744, -0.104422, -0.00751781
9.72717, -0.110265, -0.00730419
9.61124, -0.115932, -0.00708342
9.48982, -0.121417, -0.00685608
9.36311, -0.126716, -0.00662363
9.23128, -0.131826, -0.006387
9.09454, -0.136743, -0.00614715
8.95307, -0.141467, -0.00590491
8.80707, -0.145996, -0.00566161
8.65674, -0.150331, -0.00541794
8.50227, -0.154471, -0.00517464
8.34386, -0.158417, -0.00493288
8.18168, -0.162172, -0.00469339
8.01595, -0.165737, -0.00445676
7.84683, -0.169116, -0.0042237
7.67452, -0.172312, -0.00399494
7.49919, -0.175329, -0.00377107
7.32102, -0.178171, -0.00355256
7.14018, -0.180843, -0.00333989
6.95683, -0.183349, -0.00313354
6.77113, -0.185696, -0.00293374
6.58324, -0.187889, -0.00274086
6.39331, -0.189933, -0.00255519
6.20147, -0.191835, -0.00237691
